territoriality;year;pm10_concentration;pm10_tempcov;pm25_concentration;pm25_tempcov;no2_concentration;no2_tempcov;type_of_stations;number_of_stations;population;latitude;longitude;who_ms;Air_quality_category
"Eur#ESP;Spain#El Ejido";2010;30,303;98,0;9,95;88,0;16,038;98,0;Somewhere;1,0;68915,0;36,769719;-2,810969;1,0;Safety
"Amr#USA;USA#El Dorado AR";2010;24,561;98,5;11,6;88,0;15,435;96,5;Somewhere;1,0;17756,0;33,2205625298932;-92,672262743334;1,0;Safety
"Amr#USA;USA#El Centro CA";2010;19,345;96,0;8,533;88,0;17,0;93,0;Somewhere;1,0;44322,0;32,8155766666666;-115,528433333333;1,0;Safety
"Eur#ITA;Italy#Egna";2010;19,871;93,0;16,352;79,0;44,803;91,0;Somewhere;1,0;3474,0;46,3308329999999;11,275277;1,0;Safety
"Amr#CHL;Chile#El bosque";2010;70,267;93,0;27,772;79,0;22,757;94,0;Somewhere;1,0;162505,0;-33,5469999999999;-70,6662;1,0;Safety
"Eur#FRA;France#Tavaux";2010;44,640499999999996;93,0;27,772;79,0;15,968;97,0;Somewhere;1,0;3957,0;47,042611;5,40089699999999;1,0;Safety
"Eur#ESP;Spain#Eivissa";2010;19,014;86,0;27,772;79,0;11,364;94,0;Somewhere;1,0;49693,0;38,9138889999999;1,42518499999999;1,0;Safety
"Eur#ITA;Italy#Tavazzano";2010;34,824;92,0;27,772;79,0;30,697;94,0;Somewhere;1,0;6099,0;45,329445;9,414721;1,0;Safety
"Eur#AUT;Austria#Eisenstadt";2010;25,542;96,0;27,772;79,0;20,133;94,0;Somewhere;1,0;13101,0;47,84;16,526674;1,0;Safety
"Eur#DEU;Germany#Eisenhuttenstadt";2010;26,712;100,0;22,231;100,0;14,06;97,0;Somewhere;1,0;28219,0;52,146267;14,638166;1,0;Safety
"Eur#DEU;Germany#Eisenach";2010;23,479;98,0;19,604;95,5;13,199;97,0;Somewhere;1,0;37700,0;50,8585889999999;10,4738696666666;1,0;Safety
"Eur#NLD;Netherlands#Eindhoven";2010;27,032;92,0;16,977;91,0;36,74;98,0;Somewhere;1,0;358966,0;51,4408346666666;5,43167233333333;1,0;Safety
"Eur#ITA;Italy#Teramo";2010;30,847;93,0;35,18;75,0;37,827;95,0;Somewhere;1,0;54294,0;42,657223;13,709444;1,0;Safety
"Eur#ITA;Italy#Termini Imerese";2010;19,368;82,0;35,18;75,0;8,344;76,0;Somewhere;1,0;27217,0;37,9833339999999;13,6833329999999;1,0;Safety
"Eur#DEU;Germany#Dusseldorf";2010;31,723;97,0;17,793;98,0;48,691;95,0;Somewhere;1,0;941500,0;51,2337417142857;6,75388914285713;1,0;Safety
"Eur#DEU;Germany#Duisburg";2010;30,311;96,0;23,894;97,0;36,023;92,0;Somewhere;1,0;515076,0;51,4723669090909;6,75140699999999;1,0;Safety
"Sear#BTN;Bhutan#Thimphu";2010;47,0;96,0;23,894;97,0;20,7685;96,5;Somewhere;1,0;152398,0;27,4727999999999;89,6393;1,0;Safety
"Eur#IRL;Ireland#Dublin";2010;15,81;86,0;11,164;97,0;28,889;97,0;Somewhere;1,0;1228179,0;53,3347634;-6,26364673333333;1,0;Safety
"Eur#FRA;France#Thionville";2010;24,722;93,0;22,355;96,0;21,834;96,0;Somewhere;1,0;40951,0;49,367779;6,16564666666666;1,0;Safety
"Eur#GRC;Greece#Thessaloniki";2010;46,222;89,0;22,355;96,0;27,06;91,0;Somewhere;1,0;812166,0;40,633774;22,945288;1,0;Safety
"Eur#ROU;Romania#Drobeta Turnu Severin";2010;33,7575;93,0;21,926;88,0;20,9665;93,5;Somewhere;1,0;92617,0;44,627495;22,694174;1,0;Safety
"Eur#GRC;Greece#Thrakomakedones";2010;36,739;78,0;21,926;88,0;9,883;82,0;Somewhere;1,0;6201,0;38,1435239999999;23,7581829999999;1,0;Safety
"Eur#DEU;Germany#Dresden";2010;27,928;93,0;19,313;99,0;37,567;98,0;Somewhere;1,0;575476,0;51,0430187272727;13,7347852727273;1,0;Safety
"Eur#DEU;Germany#Dreissigacker";2010;16,364;100,0;19,313;99,0;12,998;97,0;Somewhere;1,0;1333,0;50,5617519999999;10,3752999999999;1,0;Safety
"Amr#USA;USA#Dover DE";2010;22,752499999999998;97,0;9,5;99,0;37,212;89,0;Somewhere;1,0;46366,0;39,070836;-75,5374279999999;1,0;Safety
"Eur#GBR;UK#Thurrock";2010;24,201;97,0;9,5;99,0;29,199;85,0;Somewhere;1,0;149056,0;51,4770699999999;0,317969;1,0;Safety
"Eur#FRA;France#Thonon Les Bains";2010;19,49;98,0;9,5;99,0;16,194;100,0;Somewhere;1,0;79147,0;46,3744439999999;6,48472199999999;1,0;Safety
"Eur#AUT;Austria#Thaures";2010;18,147;97,5;9,5;99,0;8,922;93,0;Somewhere;1,0;128,0;48,8786089999999;15,0466789999999;1,0;Safety
"Eur#CZE;Czechia#Dukovany";2010;20,051;97,0;9,5;99,0;8,922;93,0;Somewhere;1,0;901,0;49,095581;16,13446;1,0;Safety
"Amr#USA;USA#Duluth MN WI";2010;20,2;94,0;5,3;99,0;8,922;93,0;Somewhere;1,0;86697,0;46,9592030389986;-92,2332331353189;1,0;Safety
"Amr#USA;USA#Durham Chapel Hill NC";2010;21,1665;93,5;10,2;99,0;30,1845;96,0;Somewhere;1,0;417924,0;36,0329550008979;-78,904037;1,0;Safety
"Eur#FRA;France#Ternay";2010;25,367;96,0;10,2;99,0;26,717;99,0;Somewhere;1,0;5357,0;45,6019;4,8022;1,0;Safety
"Eur#ITA;Italy#Terni";2010;25,768;97,0;16,881;95,0;30,232;92,0;Somewhere;1,0;111659,0;42,5624434999999;12,6434166;1,0;Safety
"Eur#ESP;Spain#Durango";2010;19,82;99,0;10,5905;95,0;31,103;99,0;Somewhere;1,0;28806,0;43,1722219999999;-2,63583299999999;1,0;Safety
"Amr#USA;USA#Durango CO";2010;30,41;99,0;4,3;95,0;9,033;99,0;Somewhere;1,0;20,0;37,1810833336366;-107,661005333333;1,0;Safety
"Amr#BRA;Brazil#Duque De Caxias";2010;41,0;99,0;4,3;95,0;29,208000000000002;99,0;Somewhere;1,0;887960,0;-22,7067603333333;-43,3034366666667;1,0;Safety
"Eur#ESP;Spain#Terrassa";2010;27,858;99,0;4,3;95,0;49,383;99,0;Somewhere;1,0;214406,0;41,555556;2,007778;1,0;Safety
"Eur#DEU;Germany#Dunzweiler";2010;14,716;99,0;4,3;95,0;11,907;95,0;Somewhere;1,0;910,0;49,423138;7,293522;1,0;Safety
"Amr#USA;USA#Terre Haute IN";2010;21,3;98,5;13,3;95,0;15,503;96,5;Somewhere;1,0;172425,0;39,4859870009261;-87,4013119999999;1,0;Safety
"Eur#FRA;France#Dunkerque";2010;25,284;98,0;16,542;98,0;19,099;98,0;Somewhere;1,0;91386,0;51,0352765;2,3369445;1,0;Safety
"Eur#ESP;Spain#Teruel";2010;14,626;95,0;16,542;98,0;10,497;93,0;Somewhere;1,0;35675,0;40,3363889999999;-1,106667;1,0;Safety
"Eur#HUN;Hungary#Dunaujvaros";2010;25,841;100,0;16,542;98,0;18,102;99,0;Somewhere;1,0;46508,0;46,976112;18,9361129999999;1,0;Safety
"Eur#ROU;Romania#Tetchea";2010;25,841;100,0;16,542;98,0;8,87;85,0;Somewhere;1,0;3141,0;47,343609;22,331671;1,0;Safety
"Eur#MKD;North_Macedonia#Tetovo";2010;25,841;100,0;16,542;98,0;20,888;84,0;Somewhere;1,0;55790,0;42,0044439999999;20,968069;1,0;Safety
"Eur#GBR;UK#Dumfries";2010;25,841;100,0;16,542;98,0;39,94;99,0;Somewhere;1,0;33891,0;55,070033;-3,614233;1,0;Safety
"Eur#ITA;Italy#Tarvisio";2010;17,782;75,0;16,542;98,0;17,682;91,0;Somewhere;1,0;2509,0;46,503334;13,5769439999999;1,0;Safety
"Eur#POL;Poland#Elblag";2010;26,482;93,0;22,679;88,0;13,721;82,0;Somewhere;1,0;126915,0;54,168056;19,410833;1,0;Safety
"Eur#ESP;Spain#Elche";2010;21,917;95,5;17,3765;93,5;16,675;75,0;Somewhere;1,0;219708,0;38,2591669999999;-0,7175;1,0;Safety
"Eur#EST;Estonia#Tartu";2010;17,352;98,0;12,074;99,0;14,592;100,0;Somewhere;1,0;95332,0;58,370556;26,734722;1,0;Safety
"Eur#ITA;Italy#Este";2010;29,922;95,0;12,074;99,0;28,759;95,0;Somewhere;1,0;16576,0;45,2266649999999;11,6658329999999;1,0;Safety
"Eur#PRT;Portugal#Estarreja";2010;29,796;80,0;12,074;99,0;20,876;98,0;Somewhere;1,0;299352,0;40,679169;-8,58333299999999;1,0;Safety
"Eur#DEU;Germany#Essen";2010;28,494;96,0;18,7;95,0;44,544;93,0;Somewhere;1,0;582128,0;51,4614415454545;7,00356345454545;1,0;Safety
"Eur#FIN;Finland#Espoo";2010;14,745;94,0;8,482;96,0;17,976;98,0;Somewhere;1,0;213271,0;60,2575891999999;24,762577;1,0;Safety
"Eur#PRT;Portugal#Espinho";2010;39,336;87,0;8,482;96,0;25,271;89,0;Somewhere;1,0;20911,0;41,0130539999999;-8,63694699999999;1,0;Safety
"Eur#ESP;Spain#Espiel";2010;15,433;76,0;8,482;96,0;25,271;89,0;Somewhere;1,0;2424,0;38,108139;-4,9268;1,0;Safety
"Eur#TUR;Turkiye#Eskisehir";2010;35,937;97,0;8,482;96,0;25,271;89,0;Somewhere;1,0;783669,0;39,7805559999999;30,5011119999999;1,0;Safety
"Amr#BRA;Brazil#Esteio";2010;23,2;97,0;8,482;96,0;25,271;89,0;Somewhere;1,0;80643,0;-29,859154;-51,178705;1,0;Safety
"Amr#CHL;Chile#Talagante";2010;41,777;97,0;20,076;96,0;9,687;89,0;Somewhere;1,0;6507400,0;-33,6738;-70,953;1,0;Safety
"Eur#LUX;Luxembourg#Esch Sur Alzette";2010;21,559;96,0;9,908;88,0;28,83;95,0;Somewhere;1,0;30125,0;49,5050017499999;5,98250625;1,0;Safety
"Eur#FRA;France#Escautpont";2010;25,61;95,0;9,908;88,0;18,361;100,0;Somewhere;1,0;4227,0;50,42029;3,55181;1,0;Safety
"Eur#ESP;Spain#Escatron";2010;44,411;95,5;9,908;88,0;12,801;81,0;Somewhere;1,0;1120,0;41,288333;-0,326666999999999;1,0;Safety
"Eur#TUR;Turkiye#Erzurum";2010;63,212;96,0;9,908;88,0;17,511;90,0;Somewhere;1,0;431275,0;39,8980559999999;41,272499;1,0;Safety
"Eur#FRA;France#Talence";2010;25,864;98,0;18,088;93,0;22,221;99,0;Somewhere;1,0;40763,0;44,800556;-0,588056;1,0;Safety
"Amr#USA;USA#Tallahassee FL";2010;42,773;96,5;9,7;93,0;22,221;99,0;Somewhere;1,0;69261,0;30,4397220008246;-84,346389;1,0;Safety
"Eur#TUR;Turkiye#Erzincan";2010;59,682;95,0;9,7;93,0;22,221;99,0;Somewhere;1,0;97759,0;39,743057;39,494999;1,0;Safety
"Eur#ESP;Spain#Talavera De La Reina";2010;28,489;98,0;9,7;93,0;23,524;98,0;Somewhere;1,0;83750,0;39,9580559999999;-4,85083299999999;1,0;Safety
"Eur#HUN;Hungary#Esztergom";2010;29,836;100,0;22,748;96,0;18,186;99,0;Somewhere;1,0;28255,0;47,7900009999999;18,746122;1,0;Safety
"Afr#ZAF;South_Africa#Ethekwini";2010;27,713;1,0;22,748;1,0;41,87;1,0;Somewhere;1,0;3158313,0;-29,89887375;30,99809175;1,0;Safety
"Eur#ITA;Italy#Etroubles";2010;27,713;1,0;22,748;1,0;5,405;96,0;Somewhere;1,0;363,0;45,815834;7,235278;1,0;Safety
"Amr#USA;USA#Fairmont WV";2010;27,713;1,0;13,3;1,0;5,405;96,0;Somewhere;1,0;805748,0;39,481483000926;-80,1346669999999;1,0;Safety
"Emr#SAU;Saudi_Arabia#Tabuk Region";2010;126,0;1,0;16,2395;1,0;5,405;96,0;Somewhere;1,0;657277,0;28,39008;36,554572;1,0;Safety
"Eur#ITA;Italy#Faenza";2010;28,239;95,0;19,879;90,0;25,62;99,0;Somewhere;1,0;57748,0;44,2833329999999;11,8718892;1,0;Safety
"Eur#ESP;Spain#Fabero";2010;32,848;88,0;12,199;91,0;13,521;98,0;Somewhere;1,0;4956,0;42,7813889999999;-6,60388899999999;1,0;Safety
"Eur#GBR;UK#Exeter";2010;32,848;88,0;12,199;91,0;39,877;97,0;Somewhere;1,0;2673,0;50,7250829999999;-3,532465;1,0;Safety
"Eur#FRA;France#Evry";2010;32,848;88,0;12,199;91,0;29,303;95,0;Somewhere;1,0;390,0;48,6272189999999;2,429167;1,0;Safety
"Eur#FRA;France#Evreux";2010;23,199;96,0;12,199;91,0;20,298;97,0;Somewhere;1,0;49359,0;49,0213389999999;1,148319;1,0;Safety
"Eur#FRA;France#Evin Malmaison";2010;27,262;90,0;12,199;91,0;24,141;93,5;Somewhere;1,0;4731,0;50,434569;3,040833;1,0;Safety
"Eur#BEL;Belgium#Evergem";2010;31,222;88,0;20,344;89,0;27,984;90,0;Somewhere;1,0;33277,0;51,135555;3,74391049999999;1,0;Safety
"Amr#USA;USA#Evansville IN KY";2010;19,8;88,0;13,2;89,0;20,9;90,0;Somewhere;1,0;117298,0;37,9938847244767;-87,5547552840974;1,0;Safety
"Amr#USA;USA#Evanston WY";2010;12,5;88,0;9,399999999999999;89,0;2,7;90,0;Somewhere;1,0;11747,0;41,3964374304911;-110,807654109919;1,0;Safety
"Amr#USA;USA#Eureka Arcata Fortuna CA";2010;16,7;88,0;5,6;89,0;5,0;90,0;Somewhere;1,0;136463,0;40,7767800009331;-124,17949;1,0;Safety
"Eur#BEL;Belgium#Eupen";2010;14,2;88,0;6,4;89,0;15,289;94,0;Somewhere;1,0;18281,0;50,629421;6,001019;1,0;Safety
"Amr#USA;USA#Eugene OR";2010;11,7;88,0;7,2;89,0;16,216;96,0;Somewhere;1,0;176654,0;43,9093471999999;-122,93976585;1,0;Safety
"Eur#EST;Estonia#Tallinn";2010;14,397;96,0;6,315;95,0;17,143;98,0;Somewhere;1,0;445259,0;59,429099;24,6895262499999;1,0;Safety
"Eur#ESP;Spain#Errenteria";2010;21,067;98,0;23,538;95,0;28,89;98,0;Somewhere;1,0;39219,0;43,314444;-1,89944399999999;1,0;Safety
"Eur#PRT;Portugal#Ermesinde";2010;29,015;100,0;23,538;95,0;30,251;99,0;Somewhere;1,0;38869,0;41,2061119999999;-8,551683;1,0;Safety
"Eur#ROU;Romania#Targoviste";2010;22,957;81,0;23,538;95,0;25,588;92,0;Somewhere;1,0;72201,0;44,916218;25,4780669999999;1,0;Safety
